"Woonplaatsen in Nederland, 2012"
"Onderwerpen";"Woonplaats";"Woonplaats";"Gemeente";"Gemeente"
"Doorn";"Doorn";"3339";"Utrechtse Heuvelrug";"1581"
"Doornenburg";"Doornenburg";"3134";"Lingewaard";"1705"
"Doornspijk";"Doornspijk";"1846";"Elburg";"0230"
"Doorwerth";"Doorwerth";"2986";"Renkum";"0274"
"Dordrecht";"Dordrecht";"2351";"Dordrecht";"0505"
"Dorst";"Dorst";"2959";"Oosterhout";"0826"
"Drachten";"Drachten";"3279";"Smallingerland";"0090"
"Drachten-Azeven";"Drachten-Azeven";"3344";"Opsterland";"0086"
"Drachtstercompagnie";"Drachtstercompagnie";"3280";"Smallingerland";"0090"
"Dreischor";"Dreischor";"2677";"Schouwen-Duiveland";"1676"
"Drempt";"Drempt";"1520";"Bronckhorst";"1876"
"Dreumel";"Dreumel";"1771";"West Maas en Waal";"0668"
"Driebergen-Rijsenburg";"Driebergen-Rijsenburg";"3335";"Utrechtse Heuvelrug";"1581"
"Drieborg";"Drieborg";"1422";"Oldambt";"1895"
"Driebruggen";"Driebruggen";"2477";"Bodegraven-Reeuwijk";"1901"
"Driehuis (NH.)";"Driehuis (NH.)";"2836";"Velsen";"0453"
"Driehuizen";"Driehuizen";"1886";"Schermer";"0458"
"Driel";"Driel";"1863";"Overbetuwe";"1734"
"Driewegen";"Driewegen";"1253";"Borsele";"0654"
"Driezum";"Driezum";"3268";"Dantumadiel";"1891"
"Drijber";"Drijber";"3009";"Midden-Drenthe";"1731"
"Drimmelen";"Drimmelen";"2574";"Drimmelen";"1719"
"Drogeham";"Drogeham";"3176";"Achtkarspelen";"0059"
"Drogteropslagen";"Drogteropslagen";"3163";"De Wolden";"1690"
"Drongelen";"Drongelen";"1952";"Aalburg";"0738"
"Dronryp";"Dronryp";"2729";"Menameradiel";"1908"
"Dronten";"Dronten";"2430";"Dronten";"0303"
"Drouwen";"Drouwen";"1787";"Borger-Odoorn";"1681"
"Drouwenermond";"Drouwenermond";"1788";"Borger-Odoorn";"1681"
"Drouwenerveen";"Drouwenerveen";"1789";"Borger-Odoorn";"1681"
"Drunen";"Drunen";"3498";"Heusden";"0797"
"Druten";"Druten";"2904";"Druten";"0225"
"Duiven";"Duiven";"2096";"Duiven";"0226"
"Duivendrecht";"Duivendrecht";"2130";"Ouder-Amstel";"0437"
"Duizel";"Duizel";"2992";"Eersel";"0770"
"Den Dungen";"Den Dungen";"2058";"Sint-Michielsgestel";"0845"
"Dussen";"Dussen";"2214";"Werkendam";"0870"
"Dwingeloo";"Dwingeloo";"3110";"Westerveld";"1701"
"Eagum";"Eagum";"2524";"Boarnsterhim";"0055"
"Earnewâld";"Earnewâld";"2456";"Tytsjerksteradiel";"0737"
"Easterein";"Easterein";"2013";"Littenseradiel";"0140"
"Easterlittens";"Easterlittens";"2014";"Littenseradiel";"0140"
"Eastermar";"Eastermar";"2454";"Tytsjerksteradiel";"0737"
"Easterwierrum";"Easterwierrum";"2015";"Littenseradiel";"0140"
"Echt";"Echt";"2041";"Echt-Susteren";"1711"
"Echteld";"Echteld";"1095";"Neder-Betuwe";"1740"
"Echten";"Echten";"2241";"Lemsterland";"0082"
"Echten";"Echten";"3164";"De Wolden";"1690"
"Echtenerbrug";"Echtenerbrug";"2242";"Lemsterland";"0082"
"Eck en Wiel";"Eck en Wiel";"3374";"Buren";"0214"
"Eckelrade";"Eckelrade";"1693";"Eijsden-Margraten";"1903"
"Edam";"Edam";"1747";"Edam-Volendam";"0385"
"Ede";"Ede";"2764";"Ede";"0228"
"Ederveen";"Ederveen";"2769";"Ede";"0228"
"Ee";"Ee";"3392";"Dongeradeel";"0058"
"Eede";"Eede";"2966";"Sluis";"1714"
"Eefde";"Eefde";"1336";"Lochem";"0262"
"Eelde";"Eelde";"2909";"Tynaarlo";"1730"
"Eelderwolde";"Eelderwolde";"2911";"Tynaarlo";"1730"
"Eemdijk";"Eemdijk";"2238";"Bunschoten";"0313"
"Eemnes";"Eemnes";"1037";"Eemnes";"0317"
"Eemshaven";"Eemshaven";"3473";"Eemsmond";"1651"
"Een";"Een";"1634";"Noordenveld";"1699"
"Eenrum";"Eenrum";"3415";"De Marne";"1663"
"Eenum";"Eenum";"3444";"Loppersum";"0024"
"Een-West";"Een-West";"1635";"Noordenveld";"1699"
"Eerbeek";"Eerbeek";"1114";"Brummen";"0213"
"Eersel";"Eersel";"2993";"Eersel";"0770"
"Ees";"Ees";"1790";"Borger-Odoorn";"1681"
"Eesergroen";"Eesergroen";"1791";"Borger-Odoorn";"1681"
"Eeserveen";"Eeserveen";"1792";"Borger-Odoorn";"1681"
"Eesterga";"Eesterga";"2243";"Lemsterland";"0082"
"Eesveen";"Eesveen";"2699";"Steenwijkerland";"1708"
"Eethen";"Eethen";"1953";"Aalburg";"0738"
"Eext";"Eext";"1155";"Aa en Hunze";"1680"
"Eexterveen";"Eexterveen";"1156";"Aa en Hunze";"1680"
"Eexterveenschekanaal";"Eexterveenschekanaal";"1157";"Aa en Hunze";"1680"
"Eexterzandvoort";"Eexterzandvoort";"1158";"Aa en Hunze";"1680"
"Egchel";"Egchel";"3439";"Peel en Maas";"1894"
"Egmond aan den Hoef";"Egmond aan den Hoef";"3048";"Bergen (NH.)";"0373"
"Egmond aan Zee";"Egmond aan Zee";"3049";"Bergen (NH.)";"0373"
"Egmond-Binnen";"Egmond-Binnen";"3050";"Bergen (NH.)";"0373"
"Eibergen";"Eibergen";"1662";"Berkelland";"1859"
"Eijsden";"Eijsden";"1700";"Eijsden-Margraten";"1903"
"Eindhoven";"Eindhoven";"1101";"Eindhoven";"0772"
"Einighausen";"Einighausen";"2810";"Sittard-Geleen";"1883"
"Ekehaar";"Ekehaar";"1159";"Aa en Hunze";"1680"
"Elahuizen";"Elahuizen";"1675";"Gaasterlân-Sleat";"0653"
"Elburg";"Elburg";"1844";"Elburg";"0230"
"Eldersloo";"Eldersloo";"1160";"Aa en Hunze";"1680"
"Eleveld";"Eleveld";"1161";"Aa en Hunze";"1680"
"Elim";"Elim";"1811";"Hoogeveen";"0118"
"Elkenrade";"Elkenrade";"1235";"Gulpen-Wittem";"1729"
"Ell";"Ell";"2942";"Leudal";"1640"
"Ellecom";"Ellecom";"1503";"Rheden";"0275"
"Ellemeet";"Ellemeet";"2678";"Schouwen-Duiveland";"1676"
"Ellertshaar";"Ellertshaar";"1793";"Borger-Odoorn";"1681"
"Ellewoutsdijk";"Ellewoutsdijk";"1254";"Borsele";"0654"
"Elp";"Elp";"3010";"Midden-Drenthe";"1731"
"Elsendorp";"Elsendorp";"2095";"Gemert-Bakel";"1652"
"Elshout";"Elshout";"3499";"Heusden";"0797"
"Elsloo";"Elsloo";"1914";"Stein";"0971"
"Elsloo";"Elsloo";"1755";"Ooststellingwerf";"0085"
"Elspeet";"Elspeet";"2983";"Nunspeet";"0302"
"Elst";"Elst";"1864";"Overbetuwe";"1734"
"Elst (U.)";"Elst (U.)";"1400";"Rhenen";"0340"
"Emmeloord";"Emmeloord";"1271";"Noordoostpolder";"0171"
"Emmen";"Emmen";"1988";"Emmen";"0114"
"Emmer-Compascuum";"Emmer-Compascuum";"1989";"Emmen";"0114"
"Empe";"Empe";"1109";"Brummen";"0213"
"Emst";"Emst";"1346";"Epe";"0232"
"Engwierum";"Engwierum";"3393";"Dongeradeel";"0058"
"Enkhuizen";"Enkhuizen";"2754";"Enkhuizen";"0388"
"Ens";"Ens";"1276";"Noordoostpolder";"0171"
"Enschede";"Enschede";"1145";"Enschede";"0153"
"Enspijk";"Enspijk";"3216";"Geldermalsen";"0236"
"Enter";"Enter";"1088";"Wierden";"0189"
"Enumatil";"Enumatil";"2340";"Leek";"0022"
"Epe";"Epe";"1344";"Epe";"0232"
"Epen";"Epen";"1232";"Gulpen-Wittem";"1729"
"Eppenhuizen";"Eppenhuizen";"3474";"Eemsmond";"1651"
"Epse";"Epse";"1337";"Lochem";"0262"
"Erica";"Erica";"1990";"Emmen";"0114"
"Erichem";"Erichem";"3375";"Buren";"0214"
"Erlecom";"Erlecom";"2874";"Ubbergen";"0282"
"Erm";"Erm";"2153";"Coevorden";"0109"
"Ermelo";"Ermelo";"2573";"Ermelo";"0233"
"Erp";"Erp";"2826";"Veghel";"0860"
"Esbeek";"Esbeek";"1311";"Hilvarenbeek";"0798"
"Esch";"Esch";"1426";"Haaren";"0788"
"Escharen";"Escharen";"3195";"Grave";"0786"
"Espel";"Espel";"1280";"Noordoostpolder";"0171"
"Est";"Est";"3359";"Neerijnen";"0304"
"Etten";"Etten";"1581";"Oude IJsselstreek";"1509"
"Etten-Leur";"Etten-Leur";"1010";"Etten-Leur";"0777"
"Europoort Rotterdam";"Europoort Rotterdam";"3081";"Rotterdam";"0599"
"Eursinge";"Eursinge";"3165";"De Wolden";"1690"
"Eursinge";"Eursinge";"3011";"Midden-Drenthe";"1731"
"Everdingen";"Everdingen";"2840";"Vianen";"0620"
"Evertsoord";"Evertsoord";"1517";"Horst aan de Maas";"1507"
"Ewijk";"Ewijk";"2752";"Beuningen";"0209"
"1e Exloërmond";"1e Exloërmond";"1779";"Borger-Odoorn";"1681"
"2e Exloërmond";"2e Exloërmond";"1780";"Borger-Odoorn";"1681"
"Exloërveen";"Exloërveen";"1794";"Borger-Odoorn";"1681"
"Exloo";"Exloo";"1795";"Borger-Odoorn";"1681"
"Exmorra";"Exmorra";"2307";"Súdwest Fryslân";"1900"
"Eygelshoven";"Eygelshoven";"2650";"Kerkrade";"0928"
"Eys";"Eys";"1234";"Gulpen-Wittem";"1729"
"Ezinge";"Ezinge";"2467";"Winsum";"0053"
"De Falom";"De Falom";"3267";"Dantumadiel";"1891"
"Farmsum";"Farmsum";"3235";"Delfzijl";"0010"
"Feanwâlden";"Feanwâlden";"3271";"Dantumadiel";"1891"
"Feerwerd";"Feerwerd";"2468";"Winsum";"0053"
"Feinsum";"Feinsum";"3226";"Leeuwarderadeel";"0081"
"Ferwert";"Ferwert";"3201";"Ferwerderadiel";"1722"
"Ferwoude";"Ferwoude";"2308";"Súdwest Fryslân";"1900"
"Fijnaart";"Fijnaart";"1321";"Moerdijk";"1709"
"Finsterwolde";"Finsterwolde";"1419";"Oldambt";"1895"
"Firdgum";"Firdgum";"1378";"Franekeradeel";"0070"
"Fleringen";"Fleringen";"1284";"Tubbergen";"0183"
"Fluitenberg";"Fluitenberg";"1812";"Hoogeveen";"0118"
"Fochteloo";"Fochteloo";"1756";"Ooststellingwerf";"0085"
"Follega";"Follega";"2244";"Lemsterland";"0082"
"Folsgare";"Folsgare";"2402";"Súdwest Fryslân";"1900"
"Formerum";"Formerum";"2617";"Terschelling";"0093"
"Foudgum";"Foudgum";"3394";"Dongeradeel";"0058"
"Foxhol";"Foxhol";"1017";"Hoogezand-Sappemeer";"0018"
"Foxwolde";"Foxwolde";"1636";"Noordenveld";"1699"
"Franeker";"Franeker";"1366";"Franekeradeel";"0070"
"Frederiksoord";"Frederiksoord";"3111";"Westerveld";"1701"
"Friens";"Friens";"2527";"Boarnsterhim";"0055"
"Frieschepalen";"Frieschepalen";"3345";"Opsterland";"0086"
"Froombosch";"Froombosch";"1348";"Slochteren";"0040"
"Gaanderen";"Gaanderen";"3247";"Doetinchem";"0222"
"Gaast";"Gaast";"2309";"Súdwest Fryslân";"1900"
"Gaastmeer";"Gaastmeer";"2403";"Súdwest Fryslân";"1900"
"Galder";"Galder";"3434";"Alphen-Chaam";"1723"
"Gameren";"Gameren";"2631";"Zaltbommel";"0297"
"Gapinge";"Gapinge";"2777";"Veere";"0717"
"Garderen";"Garderen";"1057";"Barneveld";"0203"
"Garmerwolde";"Garmerwolde";"1831";"Ten Boer";"0009"
"Garminge";"Garminge";"3012";"Midden-Drenthe";"1731"
"Garnwerd";"Garnwerd";"2469";"Winsum";"0053"
"Garrelsweer";"Garrelsweer";"3445";"Loppersum";"0024"
"Garsthuizen";"Garsthuizen";"3446";"Loppersum";"0024"
"Garyp";"Garyp";"2455";"Tytsjerksteradiel";"0737"
"Gassel";"Gassel";"3196";"Grave";"0786"
"Gasselte";"Gasselte";"1162";"Aa en Hunze";"1680"
"Gasselternijveen";"Gasselternijveen";"1163";"Aa en Hunze";"1680"
"Gasselternijveenschemond";"Gasselternijveenschemond";"1164";"Aa en Hunze";"1680"
"Gastel";"Gastel";"1570";"Cranendonck";"1706"
"Gasteren";"Gasteren";"1165";"Aa en Hunze";"1680"
"Gauw";"Gauw";"2404";"Súdwest Fryslân";"1900"
"Geelbroek";"Geelbroek";"1166";"Aa en Hunze";"1680"
"Geerdijk";"Geerdijk";"3322";"Twenterand";"1700"
"Geersdijk";"Geersdijk";"3193";"Noord-Beveland";"1695"
"Geertruidenberg";"Geertruidenberg";"1751";"Geertruidenberg";"0779"
"Geervliet";"Geervliet";"1386";"Bernisse";"0568"
"Gees";"Gees";"2154";"Coevorden";"0109"
"Geesbrug";"Geesbrug";"2155";"Coevorden";"0109"
"Geesteren";"Geesteren";"1285";"Tubbergen";"0183"
"Geesteren";"Geesteren";"1655";"Berkelland";"1859"
"Geeuwenbrug";"Geeuwenbrug";"3112";"Westerveld";"1701"
"Geffen";"Geffen";"2747";"Maasdonk";"1671"
"Geijsteren";"Geijsteren";"1857";"Venray";"0984"
"Geldermalsen";"Geldermalsen";"3529";"Geldermalsen";"0236"
"Gelderswoude";"Gelderswoude";"2645";"Zoeterwoude";"0638"
"Geldrop";"Geldrop";"1126";"Geldrop-Mierlo";"1771"
"Geleen";"Geleen";"3513";"Sittard-Geleen";"1883"
"Gellicum";"Gellicum";"3214";"Geldermalsen";"0236"
"Gelselaar";"Gelselaar";"1654";"Berkelland";"1859"
"Gemert";"Gemert";"2089";"Gemert-Bakel";"1652"
"Gemonde";"Gemonde";"2059";"Sint-Michielsgestel";"0845"
"Genderen";"Genderen";"1954";"Aalburg";"0738"
"Gendringen";"Gendringen";"1585";"Oude IJsselstreek";"1509"
"Gendt";"Gendt";"3132";"Lingewaard";"1705"
"Genemuiden";"Genemuiden";"2198";"Zwartewaterland";"1896"
"Gennep";"Gennep";"2482";"Gennep";"0907"
"Gerkesklooster";"Gerkesklooster";"3177";"Achtkarspelen";"0059"
"Gersloot";"Gersloot";"2185";"Heerenveen";"0074"
"Geulle";"Geulle";"1462";"Meerssen";"0938"
"Giesbeek";"Giesbeek";"1300";"Zevenaar";"0299"
"Giessen";"Giessen";"3302";"Woudrichem";"0874"
"Giessenburg";"Giessenburg";"1433";"Giessenlanden";"0689"
"Gieten";"Gieten";"1167";"Aa en Hunze";"1680"
"Gieterveen";"Gieterveen";"1168";"Aa en Hunze";"1680"
"Giethmen";"Giethmen";"2551";"Ommen";"0175"
"Giethoorn";"Giethoorn";"2700";"Steenwijkerland";"1708"
"Gilze";"Gilze";"2067";"Gilze en Rijen";"0784"
"Ginnum";"Ginnum";"3202";"Ferwerderadiel";"1722"
"Glane";"Glane";"1712";"Losser";"0168"
"Glimmen";"Glimmen";"1267";"Haren";"0017"
"De Glind";"De Glind";"1061";"Barneveld";"0203"
"Godlinze";"Godlinze";"3236";"Delfzijl";"0010"
"Goedereede";"Goedereede";"2931";"Goedereede";"0511"
"Goënga";"Goënga";"2405";"Súdwest Fryslân";"1900"
"Goëngahuizen";"Goëngahuizen";"3281";"Smallingerland";"0090"
"Goes";"Goes";"1824";"Goes";"0664"
"Goingarijp";"Goingarijp";"2489";"Skarsterlân";"0051"
"Goirle";"Goirle";"2880";"Goirle";"0785"
"Goor";"Goor";"1442";"Hof van Twente";"1735"
"De Goorn";"De Goorn";"1185";"Koggenland";"1598"
"Gorinchem";"Gorinchem";"2299";"Gorinchem";"0512"
"Gorredijk";"Gorredijk";"3346";"Opsterland";"0086"
"Gorssel";"Gorssel";"1338";"Lochem";"0262"
"Gouda";"Gouda";"1005";"Gouda";"0513"
"Gouderak";"Gouderak";"2374";"Ouderkerk";"0644"
"Goudriaan";"Goudriaan";"1982";"Graafstroom";"0693"
"Goudswaard";"Goudswaard";"2886";"Korendijk";"0588"
"Goutum";"Goutum";"1201";"Leeuwarden";"0080"
"'t Goy";"'t Goy";"2054";"Houten";"0321"
"Graauw";"Graauw";"3094";"Hulst";"0677"
"Grafhorst";"Grafhorst";"2896";"Kampen";"0166"
"Graft";"Graft";"1903";"Graft-De Rijp";"0365"
"Gramsbergen";"Gramsbergen";"1549";"Hardenberg";"0160"
"Grashoek";"Grashoek";"3440";"Peel en Maas";"1894"
"Grathem";"Grathem";"2943";"Leudal";"1640"
"Grave";"Grave";"3197";"Grave";"0786"
"'s-Graveland";"'s-Graveland";"3000";"Wijdemeren";"1696"
"'s-Gravendeel";"'s-Gravendeel";"2380";"Binnenmaas";"0585"
"Den Haag";"Den Haag";"1245";"Den Haag";"0518"
"'s-Gravenhage";"'s-Gravenhage";"1245";"Den Haag";"0518"
"'s Gravenmoer";"'s Gravenmoer";"2800";"Dongen";"0766"
"'s-Gravenpolder";"'s-Gravenpolder";"1263";"Borsele";"0654"
"'s-Gravenzande";"'s-Gravenzande";"2662";"Westland";"1783"
"Greonterp";"Greonterp";"2406";"Súdwest Fryslân";"1900"
"Grevenbicht";"Grevenbicht";"2812";"Sittard-Geleen";"1883"
"Griendtsveen";"Griendtsveen";"1029";"Horst aan de Maas";"1507"
"Grijpskerk";"Grijpskerk";"2118";"Zuidhorn";"0056"
"Grijpskerke";"Grijpskerke";"2778";"Veere";"0717"
"Groede";"Groede";"2967";"Sluis";"1714"
"Groenekan";"Groenekan";"2937";"De Bilt";"0310"
"Groeningen";"Groeningen";"1216";"Boxmeer";"0756"
"Groenlo";"Groenlo";"2224";"Oost Gelre";"1586"
"Groesbeek";"Groesbeek";"2291";"Groesbeek";"0241"
"Groessen";"Groessen";"2097";"Duiven";"0226"
"Groet";"Groet";"3044";"Bergen (NH.)";"0373"
"De Groeve";"De Groeve";"2924";"Tynaarlo";"1730"
"Grolloo";"Grolloo";"1169";"Aa en Hunze";"1680"
"Groningen";"Groningen";"1070";"Groningen";"0014"
"Gronsveld";"Gronsveld";"1701";"Eijsden-Margraten";"1903"
"Groot-Ammers";"Groot-Ammers";"1806";"Liesveld";"0694"
"Grootebroek";"Grootebroek";"1103";"Stede Broec";"0532"
"Grootegast";"Grootegast";"2175";"Grootegast";"0015"
"Grootschermer";"Grootschermer";"1887";"Schermer";"0458"
"Grou";"Grou";"2528";"Boarnsterhim";"0055"
"Grubbenvorst";"Grubbenvorst";"1030";"Horst aan de Maas";"1507"
"Gulpen";"Gulpen";"1225";"Gulpen-Wittem";"1729"
"Guttecoven";"Guttecoven";"2813";"Sittard-Geleen";"1883"
"Gytsjerk";"Gytsjerk";"2444";"Tytsjerksteradiel";"0737"
"Haaften";"Haaften";"3360";"Neerijnen";"0304"
"Haaksbergen";"Haaksbergen";"2347";"Haaksbergen";"0158"
"Haalderen";"Haalderen";"3136";"Lingewaard";"1705"
"'t Haantje";"'t Haantje";"2164";"Coevorden";"0109"
"Haaren";"Haaren";"1427";"Haaren";"0788"
"Haarle";"Haarle";"1040";"Hellendoorn";"0163"
"Haarle";"Haarle";"1286";"Tubbergen";"0183"
"Haarlem";"Haarlem";"2907";"Haarlem";"0392"
"Haarlemmerliede";"Haarlemmerliede";"2641";"Haarlemmerliede en Spaarnwoude";"0393"
"Haarlo";"Haarlo";"1660";"Berkelland";"1859"
"Haarsteeg";"Haarsteeg";"3500";"Heusden";"0797"
"Haarzuilens";"Haarzuilens";"3298";"Utrecht";"0344"
"Haastrecht";"Haastrecht";"2387";"Vlist";"0623"
"Haelen";"Haelen";"2944";"Leudal";"1640"
"Hagestein";"Hagestein";"2841";"Vianen";"0620"
"Haghorst";"Haghorst";"1310";"Hilvarenbeek";"0798"
"Haler";"Haler";"2945";"Leudal";"1640"
"Halfweg";"Halfweg";"2643";"Haarlemmerliede en Spaarnwoude";"0393"
"Hall";"Hall";"1113";"Brummen";"0213"
"Halle";"Halle";"1525";"Bronckhorst";"1876"
"Hallum";"Hallum";"3203";"Ferwerderadiel";"1722"
"Halsteren";"Halsteren";"1938";"Bergen op Zoom";"0748"
"Den Ham";"Den Ham";"2116";"Zuidhorn";"0056"
"Den Ham";"Den Ham";"3321";"Twenterand";"1700"
"Handel";"Handel";"2092";"Gemert-Bakel";"1652"
"Hank";"Hank";"2215";"Werkendam";"0870"
"Hansweert";"Hansweert";"3461";"Reimerswaal";"0703"
"Hantum";"Hantum";"3395";"Dongeradeel";"0058"
"Hantumeruitburen";"Hantumeruitburen";"3396";"Dongeradeel";"0058"
"Hantumhuizen";"Hantumhuizen";"3397";"Dongeradeel";"0058"
"Hapert";"Hapert";"1065";"Bladel";"1728"
"Haps";"Haps";"1451";"Cuijk";"1684"
"Harbrinkhoek";"Harbrinkhoek";"1287";"Tubbergen";"0183"
"'t Harde";"'t Harde";"1845";"Elburg";"0230"
"Hardenberg";"Hardenberg";"1550";"Hardenberg";"0160"
"Harderwijk";"Harderwijk";"3222";"Harderwijk";"0243"
"Hardinxveld-Giessendam";"Hardinxveld-Giessendam";"3031";"Hardinxveld-Giessendam";"0523"
"Haren";"Haren";"3253";"Oss";"0828"
"Haren (Gn.)";"Haren (Gn.)";"1266";"Haren";"0017"
"Harfsen";"Harfsen";"1339";"Lochem";"0262"
"Harich";"Harich";"1676";"Gaasterlân-Sleat";"0653"
"Haringhuizen";"Haringhuizen";"2515";"Hollands Kroon";"1911"
"Harkema";"Harkema";"3178";"Achtkarspelen";"0059"
"Harkstede";"Harkstede";"1349";"Slochteren";"0040"
"Harlingen";"Harlingen";"2891";"Harlingen";"0072"
"Harmelen";"Harmelen";"1072";"Woerden";"0632"
"Harreveld";"Harreveld";"2228";"Oost Gelre";"1586"
"Harskamp";"Harskamp";"2768";"Ede";"0228"
"Hartwerd";"Hartwerd";"2310";"Súdwest Fryslân";"1900"
"Haskerdijken";"Haskerdijken";"2490";"Skarsterlân";"0051"
"Haskerhorne";"Haskerhorne";"2491";"Skarsterlân";"0051"
"Hasselt";"Hasselt";"2199";"Zwartewaterland";"1896"
"Hattem";"Hattem";"2882";"Hattem";"0244"
"Hattemerbroek";"Hattemerbroek";"3069";"Oldebroek";"0269"
"Haule";"Haule";"1757";"Ooststellingwerf";"0085"
"Haulerwijk";"Haulerwijk";"1758";"Ooststellingwerf";"0085"
"Hauwert";"Hauwert";"3149";"Medemblik";"0420"
"Havelte";"Havelte";"3113";"Westerveld";"1701"
"Havelterberg";"Havelterberg";"3114";"Westerveld";"1701"
"Hazerswoude-Dorp";"Hazerswoude-Dorp";"2852";"Rijnwoude";"1672"
"Hazerswoude-Rijndijk";"Hazerswoude-Rijndijk";"2851";"Rijnwoude";"1672"
"Hedel";"Hedel";"1625";"Maasdriel";"0263"
"Hedikhuizen";"Hedikhuizen";"3515";"Heusden";"0797"
"Hee";"Hee";"2623";"Terschelling";"0093"
"Heeg";"Heeg";"2407";"Súdwest Fryslân";"1900"
"Heel";"Heel";"1917";"Maasgouw";"1641"
"Heelsum";"Heelsum";"2987";"Renkum";"0274"
"Heelweg";"Heelweg";"1576";"Oude IJsselstreek";"1509"
"Heemserveen";"Heemserveen";"1551";"Hardenberg";"0160"
"Heemskerk";"Heemskerk";"2458";"Heemskerk";"0396"
"Heemstede";"Heemstede";"2563";"Heemstede";"0397"
"De Heen";"De Heen";"1401";"Steenbergen";"0851"
"Heenvliet";"Heenvliet";"1387";"Bernisse";"0568"
"'s-Heer Abtskerke";"'s-Heer Abtskerke";"1264";"Borsele";"0654"
"'s-Heer Arendskerke";"'s-Heer Arendskerke";"1822";"Goes";"0664"
"'s-Heer Hendrikskinderen";"'s-Heer Hendrikskinderen";"1823";"Goes";"0664"
"Heerde";"Heerde";"2865";"Heerde";"0246"
"'s-Heerenberg";"'s-Heerenberg";"2206";"Montferland";"1955"
"'s-Heerenbroek";"'s-Heerenbroek";"2899";"Kampen";"0166"
"'s-Heerenhoek";"'s-Heerenhoek";"1265";"Borsele";"0654"
"Heerenveen";"Heerenveen";"2186";"Heerenveen";"0074"
"Heerewaarden";"Heerewaarden";"1626";"Maasdriel";"0263"
"Heerhugowaard";"Heerhugowaard";"1746";"Heerhugowaard";"0398"
"Heerjansdam";"Heerjansdam";"2398";"Zwijndrecht";"0642"
"Heerle";"Heerle";"1590";"Roosendaal";"1674"
"Heerlen";"Heerlen";"1312";"Heerlen";"0917"
"Heesbeen";"Heesbeen";"3516";"Heusden";"0797"
"Heesch";"Heesch";"3059";"Bernheze";"1721"
"Heesselt";"Heesselt";"3361";"Neerijnen";"0304"
"Heeswijk-Dinther";"Heeswijk-Dinther";"3060";"Bernheze";"1721"
"Heeten";"Heeten";"1498";"Raalte";"0177"
"Heeze";"Heeze";"1314";"Heeze-Leende";"1658"
"Hegebeintum";"Hegebeintum";"3204";"Ferwerderadiel";"1722"
"Hegelsom";"Hegelsom";"1031";"Horst aan de Maas";"1507"
"Hei- en Boeicop";"Hei- en Boeicop";"2109";"Zederik";"0707"
"Heibloem";"Heibloem";"2946";"Leudal";"1640"
"Heide";"Heide";"2329";"Venray";"0984"
"Ter Heijde";"Ter Heijde";"2663";"Westland";"1783"
"Heijen";"Heijen";"2483";"Gennep";"0907"
"Heijenrath";"Heijenrath";"1228";"Gulpen-Wittem";"1729"
"Heijningen";"Heijningen";"1318";"Moerdijk";"1709"
"Heikant";"Heikant";"3091";"Hulst";"0677"
"Heilig Landstichting";"Heilig Landstichting";"2292";"Groesbeek";"0241"
"Heiligerlee";"Heiligerlee";"1899";"Oldambt";"1895"
"Heiloo";"Heiloo";"1243";"Heiloo";"0399"
"Heinenoord";"Heinenoord";"2381";"Binnenmaas";"0585"
"Heinkenszand";"Heinkenszand";"1255";"Borsele";"0654"
"Heino";"Heino";"1492";"Raalte";"0177"
"Hekelingen";"Hekelingen";"3033";"Spijkenisse";"0612"
"Hekendorp";"Hekendorp";"1909";"Oudewater";"0589"
"Helden";"Helden";"3441";"Peel en Maas";"1894"
"Den Helder";"Den Helder";"3056";"Den Helder";"0400"
"Helenaveen";"Helenaveen";"1778";"Deurne";"0762"
"Hellendoorn";"Hellendoorn";"1041";"Hellendoorn";"0163"
"Hellevoetsluis";"Hellevoetsluis";"2137";"Hellevoetsluis";"0530"
"Hellouw";"Hellouw";"3362";"Neerijnen";"0304"
"Hellum";"Hellum";"1350";"Slochteren";"0040"
"Helmond";"Helmond";"1146";"Helmond";"0794"
"Helvoirt";"Helvoirt";"1428";"Haaren";"0788"
"Hem";"Hem";"1507";"Drechterland";"0498"
"Hemelum";"Hemelum";"1970";"Súdwest Fryslân";"1900"
"Hemmen";"Hemmen";"1865";"Overbetuwe";"1734"
"Hempens";"Hempens";"1202";"Leeuwarden";"0080"
"Hemrik";"Hemrik";"3347";"Opsterland";"0086"
"Hendrik-Ido-Ambacht";"Hendrik-Ido-Ambacht";"2352";"Hendrik-Ido-Ambacht";"0531"
"Hengelo";"Hengelo";"3510";"Hengelo (O.)";"0164"
"Hengelo (Gld.)";"Hengelo (Gld.)";"1535";"Bronckhorst";"1876"
"Hengevelde";"Hengevelde";"1443";"Hof van Twente";"1735"
"Hengstdijk";"Hengstdijk";"3098";"Hulst";"0677"
"Hensbroek";"Hensbroek";"1186";"Koggenland";"1598"
"Herbaijum";"Herbaijum";"1365";"Franekeradeel";"0070"
"Herkenbosch";"Herkenbosch";"2590";"Roerdalen";"1669"
"Herkingen";"Herkingen";"2378";"Dirksland";"0504"
"Hernen";"Hernen";"2566";"Wijchen";"0296"
"Herpen";"Herpen";"3255";"Oss";"0828"
"Herpt";"Herpt";"3517";"Heusden";"0797"
"Herten";"Herten";"2282";"Roermond";"0957"
"Hertme";"Hertme";"2050";"Borne";"0147"
"'s-Hertogenbosch";"'s-Hertogenbosch";"1595";"'s-Hertogenbosch";"0796"
